current_density,cell_voltage,power_density,sbh_weight_percent,catalyst_loading
113.01,0.62139,70.222,3,17.7
91.961,0.67138,61.741,3,17.7
72.904,0.72088,52.555,3,17.7
55.756,0.77097,42.986,3,17.7
35.26,0.82205,28.986,3,17.7
21.434,0.86553,18.552,3,17.7
9.9044,0.90315,8.9452,3,17.7
7.9988,0.95119,7.6084,5,17.7
23.524,0.89522,21.059,5,17.7
39.198,0.84934,33.292,5,17.7
51.335,0.80018,41.078,5,17.7
68.443,0.75023,51.348,5,17.7
86.71,0.6997,60.671,5,17.7
106.65,0.64989,69.314,5,17.7
126.41,0.60001,75.847,5,17.7
143.95,0.55024,79.206,5,17.7
160.84,0.49952,80.344,5,17.7
176.5,0.44972,79.376,5,17.7
190.86,0.39971,76.287,5,17.7
204.64,0.35008,71.641,5,17.7
220.68,0.29945,66.084,5,17.7
239.19,0.24991,59.776,5,17.7
264.19,0.20029,52.915,5,17.7
365.75,0.20597,75.334,8,17.7
330.22,0.25651,84.704,8,17.7
323.64,0.29972,97.002,8,17.7
291.05,0.35053,102.02,8,17.7
262.31,0.40144,105.3,8,17.7
230.08,0.45548,104.8,8,17.7
194.64,0.50203,97.712,8,17.7
166.96,0.55436,92.559,8,17.7
130.57,0.60605,79.13,8,17.7
98.167,0.64558,63.375,8,17.7
91.843,0.68929,63.306,8,17.7
54.537,0.7342,40.041,8,17.7
24.346,0.77754,18.93,8,17.7
13.647,0.84587,11.544,8,17.7
0.52446,0.90532,0.47481,8,17.7
