z_real,z_img,applied_voltage,sbh_weight_percent,catalyst_loading
0.18213,0.00781,0.3,3,4.4
0.18306,0.00905,0.3,3,4.4
0.1848,0.01068,0.3,3,4.4
0.18632,0.01183,0.3,3,4.4
0.18829,0.01331,0.3,3,4.4
0.19031,0.01481,0.3,3,4.4
0.19277,0.01639,0.3,3,4.4
0.19525,0.01749,0.3,3,4.4
0.19786,0.01856,0.3,3,4.4
0.20141,0.02006,0.3,3,4.4
0.20448,0.02113,0.3,3,4.4
0.20751,0.02212,0.3,3,4.4
0.21089,0.02326,0.3,3,4.4
0.21465,0.02385,0.3,3,4.4
0.21826,0.02517,0.3,3,4.4
0.22134,0.02642,0.3,3,4.4
0.22516,0.02762,0.3,3,4.4
0.22935,0.02969,0.3,3,4.4
0.23316,0.03165,0.3,3,4.4
0.23764,0.03406,0.3,3,4.4
0.24377,0.03564,0.3,3,4.4
0.25099,0.03943,0.3,3,4.4
0.25553,0.04365,0.3,3,4.4
0.26312,0.04495,0.3,3,4.4
0.27705,0.04957,0.3,3,4.4
0.28187,0.0573,0.3,3,4.4
0.29421,0.06063,0.3,3,4.4
0.2992,0.06244,0.3,3,4.4
0.31241,0.074,0.3,3,4.4
0.32897,0.0721,0.3,3,4.4
0.33556,0.07814,0.3,3,4.4
0.34696,0.08458,0.3,3,4.4
0.37412,0.08464,0.3,3,4.4
0.40726,0.08214,0.3,3,4.4
0.40218,0.09252,0.3,3,4.4
0.42168,0.08055,0.3,3,4.4
0.42941,0.07945,0.3,3,4.4
0.43666,0.07045,0.3,3,4.4
0.45495,0.06184,0.3,3,4.4
0.46102,0.04648,0.3,3,4.4
0.46823,0.04218,0.3,3,4.4
0.47772,0.0437,0.3,3,4.4
0.48395,0.02925,0.3,3,4.4
0.48512,0.0183,0.3,3,4.4
0.48533,0.01345,0.3,3,4.4
0.47889,0.00541,0.3,3,4.4
0.48339,0.00603,0.3,3,4.4
0.15348,-0.00144,0.5,3,4.4
0.15326,-0.00143,0.5,3,4.4
0.15351,-0.00141,0.5,3,4.4
0.15689,-0.00114,0.5,3,4.4
0.15305,-0.00204,0.5,3,4.4
0.15654,-8.65E-04,0.5,3,4.4
0.15675,-0.00131,0.5,3,4.4
