z_real,z_img,applied_voltage,sbh_weight_percent
0.19079,0.02702,0.7,3
0.18066,0.00737,0.7,3
0.18382,0.01293,0.7,3
0.18384,0.01584,0.7,3
0.20945,0.04225,0.7,3
0.22166,0.04474,0.7,3
0.21473,0.05405,0.7,3
0.21473,0.05405,0.7,3
0.24435,0.05698,0.7,3
0.24435,0.05698,0.7,3
0.24435,0.05698,0.7,3
0.27388,0.09129,0.7,3
0.30431,0.06086,0.7,3
0.27388,0.09129,0.7,3
0.27388,0.12172,0.7,3
0.33474,0.15216,0.7,3
0.36517,0.15216,0.7,3
0.35187,0.23595,0.7,3
0.39561,0.21302,0.7,3
0.4869,0.21302,0.7,3
0.54467,0.25082,0.7,3
0.54776,0.30431,0.7,3
0.56477,0.26044,0.7,3
0.59403,0.32481,0.7,3
0.62037,0.28092,0.7,3
0.68474,0.3014,0.7,3
0.77838,0.23703,0.7,3
0.81935,0.35115,0.7,3
0.11923,-0.04396,0.3,5
0.12037,-0.0434,0.3,5
0.12355,-0.03732,0.3,5
0.12508,-0.02999,0.3,5
0.12533,-0.02335,0.3,5
0.12519,-0.01802,0.3,5
0.125,-0.01363,0.3,5
0.12464,-0.01013,0.3,5
0.12463,-0.00724,0.3,5
0.12462,-0.00469,0.3,5
0.12473,-0.00256,0.3,5
0.12491,-9.61E-04,0.3,5
0.12544,5.54E-04,0.3,5
0.12591,0.00217,0.3,5
0.12636,0.0035,0.3,5
0.12705,0.00502,0.3,5
0.1278,0.00628,0.3,5
0.12863,0.00748,0.3,5
0.12971,0.0096,0.3,5
0.13047,0.0111,0.3,5
0.13192,0.01297,0.3,5
0.13369,0.01481,0.3,5
0.13561,0.01702,0.3,5
0.13657,0.02058,0.3,5
0.13882,0.02383,0.3,5
0.14158,0.02747,0.3,5
0.14252,0.03297,0.3,5
0.14927,0.03846,0.3,5
0.15199,0.04537,0.3,5
0.15583,0.05328,0.3,5
0.16641,0.061,0.3,5
0.17084,0.07092,0.3,5
0.18564,0.08434,0.3,5
0.2015,0.09588,0.3,5
0.23119,0.10387,0.3,5
0.23039,0.12234,0.3,5
0.25906,0.13737,0.3,5
0.27575,0.1521,0.3,5
0.31223,0.16824,0.3,5
0.3553,0.18743,0.3,5
0.41947,0.18685,0.3,5
0.42576,0.2028,0.3,5
0.46028,0.18286,0.3,5
0.51934,0.18133,0.3,5
0.59471,0.22887,0.3,5
0.70722,0.1621,0.3,5
0.54504,0.09807,0.3,5
0.57881,0.17983,0.3,5
0.53576,0.1329,0.3,5
0.60141,0.11987,0.3,5
0.72282,0.13895,0.3,5
0.65588,0.1315,0.3,5
0.72693,0.02089,0.3,5
0.61303,-0.0512,0.3,5
0.6217,0.00444,0.3,5
0.67403,-0.05797,0.3,5
0.66656,0.06728,0.3,5
0.57762,-0.01932,0.3,5
0.53509,0.09458,0.3,5
0.11546,-0.04258,0.5,5
0.11687,-0.0422,0.5,5
0.12019,-0.03653,0.5,5
0.12183,-0.02926,0.5,5
0.12224,-0.02271,0.5,5
0.12206,-0.01744,0.5,5
0.12164,-0.01314,0.5,5
0.12167,-0.00963,0.5,5
0.12145,-0.00689,0.5,5
0.12154,-0.00465,0.5,5
0.12161,-0.00266,0.5,5
0.12214,-0.00101,0.5,5
0.12249,6.44E-04,0.5,5
0.12293,0.00207,0.5,5
0.12368,0.00326,0.5,5
0.12436,0.00441,0.5,5
0.12513,0.00562,0.5,5
0.12592,0.00675,0.5,5
0.12682,0.00804,0.5,5
0.12813,0.00888,0.5,5
0.12903,0.01042,0.5,5
0.13124,0.01129,0.5,5
0.13238,0.01269,0.5,5
0.13439,0.01443,0.5,5
0.13513,0.01656,0.5,5
0.13698,0.0192,0.5,5
0.1391,0.02199,0.5,5
0.14064,0.02502,0.5,5
0.14582,0.02826,0.5,5
0.14716,0.03314,0.5,5
0.15403,0.03657,0.5,5
0.15956,0.04036,0.5,5
0.16433,0.04648,0.5,5
0.16863,0.05216,0.5,5
0.17545,0.05597,0.5,5
0.18328,0.0664,0.5,5
0.19765,0.07208,0.5,5
0.21135,0.08301,0.5,5
0.22811,0.09407,0.5,5
0.21207,0.11082,0.5,5
0.25399,0.13414,0.5,5
0.26218,0.14929,0.5,5
0.32058,0.17381,0.5,5
0.30014,0.18564,0.5,5
0.39302,0.26875,0.5,5
0.44414,0.21636,0.5,5
0.42252,0.27547,0.5,5
0.56082,0.25241,0.5,5
0.41783,0.2406,0.5,5
0.63657,0.35649,0.5,5
0.5192,0.28324,0.5,5
0.62453,0.26628,0.5,5
0.69712,0.28103,0.5,5
0.69023,0.2375,0.5,5
0.46898,0.1349,0.5,5
0.78089,0.30246,0.5,5
0.76703,0.22268,0.5,5
0.96639,0.12195,0.5,5
0.92132,0.33152,0.5,5
0.11704,-0.04337,0.7,5
0.11848,-0.043,0.7,5
0.12174,-0.03682,0.7,5
0.12336,-0.02949,0.7,5
0.12373,-0.0228,0.7,5
0.12361,-0.01741,0.7,5
0.12331,-0.01306,0.7,5
0.12311,-0.00963,0.7,5
0.12311,-0.00677,0.7,5
0.12302,-0.00448,0.7,5
0.12367,-0.00246,0.7,5
